,Winery,Wine,Name,Year,Rating,Number_of_reviews,Region,Country,Description,Food_1,Food_2,Flavour_1,Flavour_2,Grape_1,Grape_2,Price
0,Mont Tauch,Les Garrigues Merlot,Mont Tauch Les Garrigues Merlot 2018,2018,3.5,28,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Cabernet, Merlot, Mourvedre, Grenache, and Syrah are some of the most important red grapes in the region.

Most wine producers in this region produce blends, as opposed to single varietal wines. There are some outstanding values to be found in wines from this region. Many red blends from this area retail for well under $20!

Languedoc-Roussillon is the biggest wine producing region in the world, responsible for over 1/3 of France's wine production.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

The two regions of Languedoc-Roussillon produce distinct styles of red wine, although they are lumped together.The Languedoc is known for fruit-forward and full-bodied wines that can also be quite complex. Roussillon produces riper and juicier blends, as well as late-harvest and fortified wines.",Beef,Pasta,black_fruit,earth,Shiraz/Syrah,Grenache,49.0
0,Mont Tauch,Les Garrigues Merlot,Mont Tauch Les Garrigues Merlot 2018,2018,3.5,28,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Cabernet, Merlot, Mourvedre, Grenache, and Syrah are some of the most important red grapes in the region.

Most wine producers in this region produce blends, as opposed to single varietal wines. There are some outstanding values to be found in wines from this region. Many red blends from this area retail for well under $20!

Languedoc-Roussillon is the biggest wine producing region in the world, responsible for over 1/3 of France's wine production.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

The two regions of Languedoc-Roussillon produce distinct styles of red wine, although they are lumped together.The Languedoc is known for fruit-forward and full-bodied wines that can also be quite complex. Roussillon produces riper and juicier blends, as well as late-harvest and fortified wines.",Beef,Pasta,black_fruit,earth,Shiraz/Syrah,Grenache,49.0
0,Estandon,Brise Marine Rosé,Estandon Brise Marine Rosé 2020,2020,3.9,43,Méditerranée,Frankrig,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper.",Pork,Shellfish,red_fruit,tree_fruit,Shiraz/Syrah,Grenache,59.95
0,Pierre Amadieu,Côtes Du Rhône Roulepierre Rouge,Pierre Amadieu Côtes Du Rhône Roulepierre Rouge 2018,2018,3.8,272,Côtes-du-Rhône,Frankrig,"The Southern Rhône is situated in a large, sprawling valley, shaped by the course of the Rhône River. A Mediterranean climate makes the Southern Rhône Valley one of the warmest wine growing regions in France.

Grape varieties that thrive in the region are well-suited to the hot, humid summers, and Grenache, Syrah, and Mourvèdre are by far the most common plantings.

The vast majority of Rhône wines found on the market are labeled as Côtes du Rhône AOC (Appellation d'Origine Contrôlée). Many are excellent and inexpensive, making them one of the most consumer-friendly French wines to explore. Stylistically, they are rich, easy-drinking wines with moderate tannins and alcohol levels that fall between 14-15%.

Châteauneuf-du-Pape is one of the better-known sub-regions of the Southern Rhône, and while the wines can be somewhat expensive, the quality is generally exceptional.

Grenache is by far the predominant grape found in Châteauneuf-du-Pape blends, and lends jammy red and black fruit notes along with flavors of earth, leather and spice and dried herbs.

The Southern Rhône also produces white wines, though in much smaller portion, typically these are made from Marsanne, Roussanne and Viognier. Rosé wines can be found as well and Tavel is famous for its vibrant, slightly spicy, salmon-hued rosés.",Beef,Lamb,red_fruit,black_fruit,Shiraz/Syrah,Grenache,60.0
0,Maison Barboulot,Pinot Noir,Maison Barboulot Pinot Noir 2019,2019,3.7,377,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Cabernet, Merlot, Mourvedre, Grenache, and Syrah are some of the most important red grapes in the region.

Most wine producers in this region produce blends, as opposed to single varietal wines. There are some outstanding values to be found in wines from this region. Many red blends from this area retail for well under $20!

Languedoc-Roussillon is the biggest wine producing region in the world, responsible for over 1/3 of France's wine production.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

The two regions of Languedoc-Roussillon produce distinct styles of red wine, although they are lumped together.The Languedoc is known for fruit-forward and full-bodied wines that can also be quite complex. Roussillon produces riper and juicier blends, as well as late-harvest and fortified wines.",Beef,Pasta,red_fruit,oak,Shiraz/Syrah,Grenache,64.0
0,Maison Barboulot,Chardonnay,Maison Barboulot Chardonnay 2019,2019,3.4,102,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Chardonnay, Chenin Blanc, Picpoul, Muscat, and Mauzac are some of the most important white grapes in the region.

Although there is great diversity and volume of wine produced in this region, white wines are typically aromatic and crisp, often with floral and stone fruit notes.

There are some outstanding values to be found in wines from this region. Many wines from this area retail for well under $20.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

Some of the more notable white wines to come out of this region include the sparkling Crémant de Limoux, which is produced using Méthode Traditionnelle. These sparklers offer great bang for the buck!",Pasta,Vegetarian,oak,non_oak,Grenache Blanc,Bourboulenc,64.0
0,Horgelus,Côtes de Gascogne Rosé,Horgelus Côtes de Gascogne Rosé 2020,2020,4.2,34,Côtes de Gascogne,Frankrig,,Pasta,Vegetarian,red_fruit,citrus_fruit,Shiraz/Syrah,Grenache,65.0
0,4 Chemins,Le Serre Prestige Côtes-du-Rhône Rouge,4 Chemins Le Serre Prestige Côtes-du-Rhône Rouge 2018,2018,3.9,318,Côtes-du-Rhône,Frankrig,"The Southern Rhône is situated in a large, sprawling valley, shaped by the course of the Rhône River. A Mediterranean climate makes the Southern Rhône Valley one of the warmest wine growing regions in France.

Grape varieties that thrive in the region are well-suited to the hot, humid summers, and Grenache, Syrah, and Mourvèdre are by far the most common plantings.

The vast majority of Rhône wines found on the market are labeled as Côtes du Rhône AOC (Appellation d'Origine Contrôlée). Many are excellent and inexpensive, making them one of the most consumer-friendly French wines to explore. Stylistically, they are rich, easy-drinking wines with moderate tannins and alcohol levels that fall between 14-15%.

Châteauneuf-du-Pape is one of the better-known sub-regions of the Southern Rhône, and while the wines can be somewhat expensive, the quality is generally exceptional.

Grenache is by far the predominant grape found in Châteauneuf-du-Pape blends, and lends jammy red and black fruit notes along with flavors of earth, leather and spice and dried herbs.

The Southern Rhône also produces white wines, though in much smaller portion, typically these are made from Marsanne, Roussanne and Viognier. Rosé wines can be found as well and Tavel is famous for its vibrant, slightly spicy, salmon-hued rosés.",Beef,Lamb,oak,non_oak,Shiraz/Syrah,Grenache,65.0
0,Domaine Preignes le Vieux - Maison Robert Vic,Tradition Chardonnay,Domaine Preignes le Vieux - Maison Robert Vic Tradition Chardonnay 2020,2020,3.7,43,Pays d'Oc,Frankrig,"Wine from the Languedoc-Roussillon region is produced in the South of France, ranging from the Mediterranean coast to Provence. Chardonnay, Chenin Blanc, Picpoul, Muscat, and Mauzac are some of the most important white grapes in the region.

Although there is great diversity and volume of wine produced in this region, white wines are typically aromatic and crisp, often with floral and stone fruit notes.

There are some outstanding values to be found in wines from this region. Many wines from this area retail for well under $20.

Although the region has been known to produce cheap table wine in the past, many vineyards and cooperatives are replacing lesser quality vines with higher quality wine varieties and production methods. The quality has been steadily improving since the 1970s when the region was best known for churning out cheap jug wine.

Some of the more notable white wines to come out of this region include the sparkling Crémant de Limoux, which is produced using Méthode Traditionnelle. These sparklers offer great bang for the buck!",Pasta,Vegetarian,tree_fruit,citrus_fruit,Grenache Blanc,Bourboulenc,65.0
0,Château Pesquie,Ventoux Terrasses,Château Pesquie Ventoux Terrasses 2014,2014,3.7,1734,Ventoux,Frankrig,"The Southern Rhône is situated in a large, sprawling valley, shaped by the course of the Rhône River. A Mediterranean climate makes the Southern Rhône Valley one of the warmest wine growing regions in France.

Grape varieties that thrive in the region are well-suited to the hot, humid summers, and Grenache, Syrah, and Mourvèdre are by far the most common plantings.

The vast majority of Rhône wines found on the market are labeled as Côtes du Rhône AOC (Appellation d'Origine Contrôlée). Many are excellent and inexpensive, making them one of the most consumer-friendly French wines to explore. Stylistically, they are rich, easy-drinking wines with moderate tannins and alcohol levels that fall between 14-15%.

Châteauneuf-du-Pape is one of the better-known sub-regions of the Southern Rhône, and while the wines can be somewhat expensive, the quality is generally exceptional.

Grenache is by far the predominant grape found in Châteauneuf-du-Pape blends, and lends jammy red and black fruit notes along with flavors of earth, leather and spice and dried herbs.

The Southern Rhône also produces white wines, though in much smaller portion, typically these are made from Marsanne, Roussanne and Viognier. Rosé wines can be found as well and Tavel is famous for its vibrant, slightly spicy, salmon-hued rosés.",Beef,Lamb,red_fruit,spices,Shiraz/Syrah,Grenache,65.0
