,Winery,Wine,Name,Year,Rating,Number_of_reviews,Region,Country,Description,Food_1,Food_2,Flavour_1,Flavour_2,Grape_1,Grape_2,Price
0,Feudi Salentini,125 Uno Due Cinque Malvasia del Salento,Feudi Salentini 125 Uno Due Cinque Malvasia del Salento 2019,2019,4.0,229,Salento,Italien,"Italy is responsible for some of the finest wines in the world, and while Northern Italy receives the majority of the plaudits, there is some excellent wine emerging from the sparsely populated southern regions.

Fiano and Greco are the two big white varietals in Campania and Basilicata, while Sicily has become known for their Bianco d'Alcamo, a dry wine made from the Marsala grape.

Southern Italy's reputation has taken a beating in recent years as they have become known for producing bulk wine that they can't sell, and the reputation seems to endure despite some lovely wine coming from Sicily, Campania and Basilicata.

Fiano tends to be a wonderfully creamy white wine with lots of green apple skin and pear. Greco, arguably Campania's flagship white grape, is a lot crisper, and typically has an abundance of minerality, lemon notes and pear.

The white wine of Southern Italy pairs extremely well with the creamy regional cuisine, as well as with some freshly caught fish or shellfish.",Shellfish,Vegetarian,tropical_fruit,tree_fruit,Malvasia,Fiano,47.2
0,Wildfoot,Winemaker's Selection Negroamaro - Zinfandel,Wildfoot Winemaker's Selection Negroamaro - Zinfandel 2017,2017,3.8,415,Puglia,Italien,"Southern Italy is the toe, heel, and ankle of the Italian “boot” where we find the regions Campania, Basilicata, Puglia, Calabria, and Sicily as well as the distant relative Sardegna. There are scores of fascinating indigenous grape varieties here, different winemaking traditions and styles are defining each region, and the wines are often less expensive than their Northern counterparts.

Puglia and Sicily are producing huge volumes of wine, and they are battling to be the second biggest wine producing region in Italy. The hot climate is reflected in the wines and they are famous for their inexpensive, full bodied, warm, and fruit forward red wines based on Primitivo and Nero d’Avola. Less famous yet very interesting are the Sicilian wines from Mount Etna. The higher altitude yields wines that are lighter, fresh and complex. The indigenous grape Nerello Mascalese offers some fine examples.

In Campania and the northern part of Basilicata, winemakers have been finding success with the grape Aglianico (pronounced “ahl-YAH-nee-koe”). The slightly colder climate is ideal for this grape and produces wines that are garnet-colored with high tannins and acidity. Harsh when young, but after some aging they become elegant and complex, and reveal lovely plummy flavors with a hint of chocolate.

In Sardegna they lean more towards the grapes Carignano and Cannonau with French/Spanish origin. The wines here are often powerful with a spicy touch.",Beef,Pasta,oak,black_fruit,Primitivo,Aglianico,49.0
0,Conte Zardi,Il Sapiente Sangiovese,Conte Zardi Il Sapiente Sangiovese 2019,2019,3.9,86,Colli d'Imola,Italien,"The wines of Northern Italy include some of the most well known red wines in the country including Nebbiolo, Barbera, Dolcetto, Amarone and Valpolicella.

Arguably, the two most important regions in Northern Italy are Piedmont in the northwest, and Veneto in the northeast. Red wines from these regions range from some of the most expensive and sought after in all of Italy to great value red wines.

Nebbiolo produces some of the most exclusive and expensive red wines in Italy, including Barolo and Barbaresco. However, these sought after wines come with a hefty price tag.

Dolcetto and Barbera from Piedmont offer relative value. Dolcetto is planted on less desirable vineyard sites, and produces fruit-forward, great value wines that are meant to be consumed within 1-2 years of bottling. Barbera is a high yield variety with low tannins and high acidity.

In Veneto, Valpolicella reigns supreme as its own distinct viticultural zone. There are five different tiers within this wine category ranging from inexpensive and light-bodied Valpolicella Classico, to pricey Amarone.

Red wines from Valpolicella are typically based on Corvina, with Rondinella, and Molinara rounding out these blended wines.",Beef,Pasta,oak,non_oak,Nebbiolo,Barbera,49.95
0,Angelo,Nero d'Avola,Angelo Nero d'Avola 2018,2018,3.5,37,Valle Belice,Italien,"Southern Italy is the toe, heel, and ankle of the Italian “boot” where we find the regions Campania, Basilicata, Puglia, Calabria, and Sicily as well as the distant relative Sardegna. There are scores of fascinating indigenous grape varieties here, different winemaking traditions and styles are defining each region, and the wines are often less expensive than their Northern counterparts.

Puglia and Sicily are producing huge volumes of wine, and they are battling to be the second biggest wine producing region in Italy. The hot climate is reflected in the wines and they are famous for their inexpensive, full bodied, warm, and fruit forward red wines based on Primitivo and Nero d’Avola. Less famous yet very interesting are the Sicilian wines from Mount Etna. The higher altitude yields wines that are lighter, fresh and complex. The indigenous grape Nerello Mascalese offers some fine examples.

In Campania and the northern part of Basilicata, winemakers have been finding success with the grape Aglianico (pronounced “ahl-YAH-nee-koe”). The slightly colder climate is ideal for this grape and produces wines that are garnet-colored with high tannins and acidity. Harsh when young, but after some aging they become elegant and complex, and reveal lovely plummy flavors with a hint of chocolate.

In Sardegna they lean more towards the grapes Carignano and Cannonau with French/Spanish origin. The wines here are often powerful with a spicy touch.",Beef,Pasta,black_fruit,oak,Primitivo,Aglianico,50.0
0,Tinazzi,Custoza Collezione di Famiglia (Selezione di Famiglia),Tinazzi Custoza Collezione di Famiglia (Selezione di Famiglia) 2016,2016,4.1,29,Bianco di Custoza,Italien,"Often better known for red varieties, Northern Italy has a number of delicious and drinkable white wines. To know Northern Italian wines is to know the influences of the wines of the countries that border Italy.

Old World wines tend to be far less about fruit-forward  flavors, and more about the effect that the climate, soil, and adjacently growing flora (terroir) have on the grapes during their growth.

The most widely recognizable varietal is Pinot Grigio which is very rustic, medium-bodied, with medium to high acidity. Chardonnay seems to grow anywhere grapes can grow; although Italian varieties are not normally coveted quality.

Gewürztraminer usually makes us think of Germany, but it's also thriving in Northern Italy. The warmer climate imparts a little less sugar and little more acidity than its German cousin.

Then there is Moscato. From the northwest Piedmont region, this wine is sweet and very popular in North America, and comes in both still and sparkling varieties.

Whatever your choice, taking a tour of Italian white wines is an enjoyable experience that you will be thankful you took.",Pasta,Shellfish,black_fruit,dried_fruit,Arneis,Pinot Blanc,54.0
0,Feudi Salentini,125 Uno Due Cinque Malvasia del Salento,Feudi Salentini 125 Uno Due Cinque Malvasia del Salento 2019,2019,4.0,229,Salento,Italien,"Italy is responsible for some of the finest wines in the world, and while Northern Italy receives the majority of the plaudits, there is some excellent wine emerging from the sparsely populated southern regions.

Fiano and Greco are the two big white varietals in Campania and Basilicata, while Sicily has become known for their Bianco d'Alcamo, a dry wine made from the Marsala grape.

Southern Italy's reputation has taken a beating in recent years as they have become known for producing bulk wine that they can't sell, and the reputation seems to endure despite some lovely wine coming from Sicily, Campania and Basilicata.

Fiano tends to be a wonderfully creamy white wine with lots of green apple skin and pear. Greco, arguably Campania's flagship white grape, is a lot crisper, and typically has an abundance of minerality, lemon notes and pear.

The white wine of Southern Italy pairs extremely well with the creamy regional cuisine, as well as with some freshly caught fish or shellfish.",Shellfish,Vegetarian,tropical_fruit,tree_fruit,Malvasia,Fiano,47.2
0,Wildfoot,Winemaker's Selection Negroamaro - Zinfandel,Wildfoot Winemaker's Selection Negroamaro - Zinfandel 2017,2017,3.8,415,Puglia,Italien,"Southern Italy is the toe, heel, and ankle of the Italian “boot” where we find the regions Campania, Basilicata, Puglia, Calabria, and Sicily as well as the distant relative Sardegna. There are scores of fascinating indigenous grape varieties here, different winemaking traditions and styles are defining each region, and the wines are often less expensive than their Northern counterparts.

Puglia and Sicily are producing huge volumes of wine, and they are battling to be the second biggest wine producing region in Italy. The hot climate is reflected in the wines and they are famous for their inexpensive, full bodied, warm, and fruit forward red wines based on Primitivo and Nero d’Avola. Less famous yet very interesting are the Sicilian wines from Mount Etna. The higher altitude yields wines that are lighter, fresh and complex. The indigenous grape Nerello Mascalese offers some fine examples.

In Campania and the northern part of Basilicata, winemakers have been finding success with the grape Aglianico (pronounced “ahl-YAH-nee-koe”). The slightly colder climate is ideal for this grape and produces wines that are garnet-colored with high tannins and acidity. Harsh when young, but after some aging they become elegant and complex, and reveal lovely plummy flavors with a hint of chocolate.

In Sardegna they lean more towards the grapes Carignano and Cannonau with French/Spanish origin. The wines here are often powerful with a spicy touch.",Beef,Pasta,oak,black_fruit,Primitivo,Aglianico,49.0
0,Conte Zardi,Il Sapiente Sangiovese,Conte Zardi Il Sapiente Sangiovese 2019,2019,3.9,86,Colli d'Imola,Italien,"The wines of Northern Italy include some of the most well known red wines in the country including Nebbiolo, Barbera, Dolcetto, Amarone and Valpolicella.

Arguably, the two most important regions in Northern Italy are Piedmont in the northwest, and Veneto in the northeast. Red wines from these regions range from some of the most expensive and sought after in all of Italy to great value red wines.

Nebbiolo produces some of the most exclusive and expensive red wines in Italy, including Barolo and Barbaresco. However, these sought after wines come with a hefty price tag.

Dolcetto and Barbera from Piedmont offer relative value. Dolcetto is planted on less desirable vineyard sites, and produces fruit-forward, great value wines that are meant to be consumed within 1-2 years of bottling. Barbera is a high yield variety with low tannins and high acidity.

In Veneto, Valpolicella reigns supreme as its own distinct viticultural zone. There are five different tiers within this wine category ranging from inexpensive and light-bodied Valpolicella Classico, to pricey Amarone.

Red wines from Valpolicella are typically based on Corvina, with Rondinella, and Molinara rounding out these blended wines.",Beef,Pasta,oak,non_oak,Nebbiolo,Barbera,49.95
0,Angelo,Nero d'Avola,Angelo Nero d'Avola 2018,2018,3.5,37,Valle Belice,Italien,"Southern Italy is the toe, heel, and ankle of the Italian “boot” where we find the regions Campania, Basilicata, Puglia, Calabria, and Sicily as well as the distant relative Sardegna. There are scores of fascinating indigenous grape varieties here, different winemaking traditions and styles are defining each region, and the wines are often less expensive than their Northern counterparts.

Puglia and Sicily are producing huge volumes of wine, and they are battling to be the second biggest wine producing region in Italy. The hot climate is reflected in the wines and they are famous for their inexpensive, full bodied, warm, and fruit forward red wines based on Primitivo and Nero d’Avola. Less famous yet very interesting are the Sicilian wines from Mount Etna. The higher altitude yields wines that are lighter, fresh and complex. The indigenous grape Nerello Mascalese offers some fine examples.

In Campania and the northern part of Basilicata, winemakers have been finding success with the grape Aglianico (pronounced “ahl-YAH-nee-koe”). The slightly colder climate is ideal for this grape and produces wines that are garnet-colored with high tannins and acidity. Harsh when young, but after some aging they become elegant and complex, and reveal lovely plummy flavors with a hint of chocolate.

In Sardegna they lean more towards the grapes Carignano and Cannonau with French/Spanish origin. The wines here are often powerful with a spicy touch.",Beef,Pasta,black_fruit,oak,Primitivo,Aglianico,50.0
0,Tinazzi,Custoza Collezione di Famiglia (Selezione di Famiglia),Tinazzi Custoza Collezione di Famiglia (Selezione di Famiglia) 2016,2016,4.1,29,Bianco di Custoza,Italien,"Often better known for red varieties, Northern Italy has a number of delicious and drinkable white wines. To know Northern Italian wines is to know the influences of the wines of the countries that border Italy.

Old World wines tend to be far less about fruit-forward  flavors, and more about the effect that the climate, soil, and adjacently growing flora (terroir) have on the grapes during their growth.

The most widely recognizable varietal is Pinot Grigio which is very rustic, medium-bodied, with medium to high acidity. Chardonnay seems to grow anywhere grapes can grow; although Italian varieties are not normally coveted quality.

Gewürztraminer usually makes us think of Germany, but it's also thriving in Northern Italy. The warmer climate imparts a little less sugar and little more acidity than its German cousin.

Then there is Moscato. From the northwest Piedmont region, this wine is sweet and very popular in North America, and comes in both still and sparkling varieties.

Whatever your choice, taking a tour of Italian white wines is an enjoyable experience that you will be thankful you took.",Pasta,Shellfish,black_fruit,dried_fruit,Arneis,Pinot Blanc,54.0
